resolution,dx,profile,count,visibility_z_mean,visibility_z_median,visibility_z_p25,visibility_z_p75,ideal_visibility_z_median,visibility_ratio_median,signal_retention_mask_median,relative_delta_mean_median,relative_delta_mask_mean_median,corr_ix_vs_ideal_median,corr_iy_vs_ideal_median
64,3.12,near_identity,16,15.30363360003349,8.935315047975298,5.776623890297259,19.436617625792664,11.78098494190806,21.60930398986801,3.7500539746735955,7.677682876586914,3.6713368892669678,0.004747887901706163,-0.030472910734029433
64,3.12,weak,16,1.7451826577210328,1.3507358206676399,1.1464352130511768,1.8677062672007776,11.78098494190806,11.474018885461323,1.4116659599215802,8.085279941558838,1.8468965888023376,0.011192071977771006,0.00928420447087346
64,3.12,mid,16,1.0037701082544248,1.0895597730696431,0.7295177192947601,1.4262502530987082,11.78098494190806,3.3483276881136668,0.6182314620936681,9.297340393066406,1.3297902345657349,-0.014159329429591385,-0.0004931231231880912
64,3.12,default,16,0.6163496412760661,0.6953301047989418,-0.02176101549092261,1.2123743287124433,11.78098494190806,1.88573371203409,0.11125297482415793,3.4825698137283325,1.0138413310050964,-0.0018792051397606884,0.007241101700032041
64,3.12,lowpass_only,16,16.933679479048735,9.04217052868528,6.565386470090822,29.046160907116516,11.78098494190806,49.27033994945913,0.5086996617379058,1.321459710597992,1.1159581542015076,-0.005224601960185982,0.01858379672113583
128,1.56,near_identity,16,38.2080730726489,13.503764127499656,11.048990812931219,70.71414293953606,15.123021142504177,42.919988765691755,2.177244408409834,3.3721596002578735,2.17116916179657,0.017636032325172343,0.06028986843564436
128,1.56,weak,16,1.0326479651921754,0.5436119461270671,0.22871148383396328,1.2492566710931237,15.123021142504177,10.406068394679902,0.3545901554675036,4.1123669147491455,1.2906420826911926,0.002398473781733923,1.9105782949146594e-06
128,1.56,mid,16,0.7315852102364911,0.6333730687759107,0.38710928484222146,1.1583374984419517,15.123021142504177,2.674209150844004,0.06040597059156471,2.839218258857727,1.0200095772743225,-0.0011948170704309188,-0.005348668633082584
128,1.56,default,16,0.5021073716480465,0.5199766782420803,-0.1881035777317196,0.9547391380897812,15.123021142504177,1.7005930881885083,0.006178392541501046,1.2388282418251038,1.000089406967163,-0.00018748012585793948,0.002418878734706955
128,1.56,lowpass_only,16,15.367687380994461,7.17882622463631,5.213342111480381,30.11812051734496,15.123021142504177,96.67683016769429,0.032840331713969606,1.0083943009376526,0.9995853900909424,0.036166061568894535,-0.004099022220570147
256,0.78,near_identity,16,67.35256476867889,15.493422967183378,11.968488591035381,134.089644317796,16.04765863865307,64.99939156368602,0.830296322376129,1.126374900341034,0.8509069681167603,0.48948351000020407,0.6996794717902364
256,0.78,weak,16,1.7520078226776858,0.49875459903627706,0.00627498246997984,1.6173798712906644,16.04765863865307,10.994239323781589,0.14475321742527453,1.902174949645996,1.1046536564826965,2.8427643867418248e-05,8.91400884666623e-06
256,0.78,mid,16,0.7470216130922664,0.5592907639115952,0.27359541103055385,1.1760546912409588,16.04765863865307,2.7469010477650135,0.01113777495586996,1.299670398235321,1.0036267042160034,-0.001747220982662246,-0.005021541962325769
256,0.78,default,16,0.49386254737402135,0.38073304353113335,-0.22507455885896507,1.0195480114789655,16.04765863865307,1.6463126169926032,0.0007383722733704293,1.033546268939972,1.000000923871994,-2.01898118683377e-05,-0.0004180401416471333
256,0.78,lowpass_only,16,14.398616257719203,6.054774920639945,4.23206943508868,26.804684707482448,16.04765863865307,106.87185193760104,0.006357852713991847,1.0006194114685059,0.9990278482437134,0.0002904562325890065,-0.009156768382353337
